id,#Days_Resolution,#Actors_Subscription,#Developers_Mention,#Times_Reference,#Developers_Comment,#Comments,Type
22549572,40,6,96,10,6,127,GFI
50574207,155,22,58,3,37,110,GFI
1443657,754,16,63,0,28,100,GFI
10569628,7,24,47,2,51,98,GFI
1563863,69,16,23,5,39,82,GFI
1563863,2485,16,23,5,39,82,GFI
14670610,91,11,17,3,30,68,GFI
1026268,347,10,36,2,17,66,GFI
1026268,1008,10,36,2,17,66,GFI
32553584,175,17,40,2,33,65,GFI
61877287,8,5,53,4,5,63,GFI
19831390,173,5,12,0,46,62,GFI
35854220,320,5,9,0,30,59,GFI
2488170,0,2,2,0,11,58,GFI
2488170,206,2,2,0,11,58,GFI
36898708,54,9,34,0,13,56,GFI
22584133,4,0,0,0,8,56,GFI
52555337,7,0,0,1,3,56,GFI
38452674,350,15,25,5,26,55,GFI
5078682,82,7,17,4,9,55,GFI
16570341,80,10,21,0,28,54,GFI
28850547,28,7,13,0,9,54,GFI
1387793,470,11,12,2,16,51,GFI
1387793,556,11,12,2,16,51,GFI
1387793,1222,11,12,2,16,51,GFI
4996182,1092,11,19,0,14,51,GFI
713578,0,5,12,0,7,48,GFI
12360840,563,12,17,2,29,47,GFI
2403868,17,8,17,0,34,46,GFI
2593000,0,3,3,0,11,45,GFI
7886329,30,2,14,3,3,45,GFI
7886329,95,2,14,3,3,45,GFI
713358,1272,7,17,2,8,44,GFI
21466430,384,7,32,0,8,43,GFI
10925499,1088,4,9,1,7,43,GFI
15355753,0,0,0,0,5,43,GFI
8839495,917,1,1,0,7,42,GFI
14695118,90,7,13,0,26,41,GFI
58994311,121,23,24,0,8,41,GFI
12183024,16,2,4,0,6,41,GFI
12183024,16,2,4,0,6,41,GFI
28825634,2,3,5,1,5,41,GFI
28825634,2,3,5,1,5,41,GFI
44872911,9,1,1,0,32,40,GFI
40335847,0,0,0,0,3,40,GFI
19703946,120,14,20,5,21,38,GFI
19703946,829,14,20,5,21,38,GFI
21604467,822,16,18,34,13,38,GFI
28391248,365,5,5,0,12,38,GFI
21678767,634,7,22,13,9,38,GFI
60479073,0,6,20,0,7,38,GFI
60479073,0,6,20,0,7,38,GFI
60479073,52,6,20,0,7,38,GFI
20735668,1861,6,16,0,11,37,GFI
39992191,0,6,34,0,6,37,GFI
39992191,13,6,34,0,6,37,GFI
39992191,16,6,34,0,6,37,GFI
28072595,1,0,0,0,5,37,GFI
28072595,336,0,0,0,5,37,GFI
5592421,114,2,2,0,14,36,GFI
12514246,0,3,9,0,13,36,GFI
12514246,716,3,9,0,13,36,GFI
20442650,399,7,23,10,12,36,GFI
12620631,17,6,14,18,7,36,GFI
45346554,7,4,25,2,5,36,GFI
11255350,134,4,7,2,15,35,GFI
11255350,787,4,7,2,15,35,GFI
26175427,578,7,25,5,8,35,GFI
5752135,6,4,9,4,5,35,GFI
4971312,55,7,16,9,15,34,GFI
4971312,227,7,16,9,15,34,GFI
4971312,498,7,16,9,15,34,GFI
38894268,329,4,8,12,7,34,GFI
26095886,112,8,37,0,6,34,GFI
31265894,532,2,2,2,4,34,GFI
5908216,880,5,5,13,24,33,GFI
57270378,140,14,28,8,11,33,GFI
2033165,172,1,1,3,11,33,GFI
23606677,76,6,8,5,9,33,GFI
1427138,919,8,5,1,16,32,GFI
23776882,95,6,18,0,9,32,GFI
23776882,318,6,18,0,9,32,GFI
39296884,22,3,5,0,9,32,GFI
2302951,604,2,3,0,9,32,GFI
1313599,544,5,10,1,6,32,GFI
33760656,478,4,21,9,5,32,GFI
38922110,449,3,12,0,4,32,GFI
32226839,422,6,7,10,21,31,GFI
3440852,541,8,15,3,17,31,GFI
7603675,285,8,17,0,14,31,GFI
56836421,30,6,9,0,12,31,GFI
17334031,222,8,24,1,9,31,GFI
1353687,356,2,5,4,8,31,GFI
10314862,45,4,10,11,7,31,GFI
10314862,1318,4,10,11,7,31,GFI
47395247,22,6,16,0,5,31,GFI
37587505,0,4,11,0,5,31,GFI
37587505,45,4,11,0,5,31,GFI
25347176,575,4,4,0,26,30,GFI
16899326,479,6,9,0,16,30,GFI
57495876,150,8,21,7,7,30,GFI
57324103,52,3,3,0,7,30,GFI
1798138,27,2,5,3,6,30,GFI
1798138,121,2,5,3,6,30,GFI
1798138,179,2,5,3,6,30,GFI
25928259,503,7,25,25,5,30,GFI
21273027,30,6,8,1,15,29,GFI
21273027,296,6,8,1,15,29,GFI
48761191,35,4,5,3,11,29,GFI
61529031,47,8,15,0,11,29,GFI
29934632,199,7,13,0,11,29,GFI
38868569,217,3,5,1,9,29,GFI
53474291,202,9,24,0,8,29,GFI
28104654,90,5,18,1,6,29,GFI
31386084,390,40,27,313,15,28,GFI
8906190,715,6,15,4,11,28,GFI
21411265,7,11,27,1,9,28,GFI
21411265,306,11,27,1,9,28,GFI
21411265,348,11,27,1,9,28,GFI
15814803,280,8,26,0,9,28,GFI
156334,9,10,23,3,8,28,GFI
295996,192,5,11,1,8,28,GFI
25856322,505,5,7,23,7,28,GFI
34533746,345,7,18,0,7,28,GFI
713180,172,4,6,1,6,28,GFI
713180,1461,4,6,1,6,28,GFI
713587,0,4,5,6,5,28,GFI
713587,35,4,5,6,5,28,GFI
41819745,21,5,15,1,5,28,GFI
27846851,256,3,9,0,4,28,GFI
15714680,195,5,9,27,18,27,GFI
22897725,0,1,1,0,15,27,GFI
16410621,4,0,0,6,14,27,GFI
17213269,189,5,6,2,12,27,GFI
27115245,185,14,6,6,8,27,GFI
41499070,118,3,6,7,7,27,GFI
16325908,276,5,8,3,7,27,GFI
64077367,18,6,6,0,5,27,GFI
46627702,17,4,10,1,4,27,GFI
9670917,153,0,0,1,4,27,GFI
9670917,182,0,0,1,4,27,GFI
56084771,82,7,12,16,23,26,GFI
95147,49,1,1,4,15,26,GFI
95147,300,1,1,4,15,26,GFI
37879317,247,5,5,1,15,26,GFI
16668804,77,1,1,1,13,26,GFI
23204139,1389,3,3,1,11,26,GFI
22148896,527,4,11,0,10,26,GFI
22148896,869,4,11,0,10,26,GFI
16355680,12,6,11,1,9,26,GFI
16355680,21,6,11,1,9,26,GFI
16355680,903,6,11,1,9,26,GFI
12415385,25,8,18,4,8,26,GFI
12415385,26,8,18,4,8,26,GFI
12415385,122,8,18,4,8,26,GFI
23927163,137,8,16,0,8,26,GFI
51186745,244,5,10,0,8,26,GFI
31695159,187,4,8,5,7,26,GFI
29729542,128,6,11,11,6,26,GFI
14749329,331,3,3,8,5,26,GFI
32362064,2,5,10,0,5,26,GFI
32362064,2,5,10,0,5,26,GFI
1440864,12,3,11,1,4,26,GFI
14254592,37,2,3,2,3,26,GFI
18988735,10,0,0,0,2,26,GFI
8916768,1143,8,16,21,12,25,GFI
31967805,498,25,11,13,12,25,GFI
56303235,146,11,23,9,9,25,GFI
1462906,503,5,6,5,9,25,GFI
12738222,286,9,19,3,8,25,GFI
2547202,39,10,21,0,8,25,GFI
35321315,24,6,16,11,7,25,GFI
1622647,0,6,12,1,7,25,GFI
1622647,61,6,12,1,7,25,GFI
1622647,204,6,12,1,7,25,GFI
27621796,160,3,6,0,6,25,GFI
44176217,120,4,8,7,4,25,GFI
33305881,601,4,5,1,20,24,GFI
2872237,2404,8,9,3,18,24,GFI
18468137,0,3,8,0,16,24,GFI
7409767,1072,6,9,5,14,24,GFI
41936673,196,3,9,5,13,24,GFI
8190087,0,6,9,0,13,24,GFI
8190087,107,6,9,0,13,24,GFI
34193695,82,6,10,0,12,24,GFI
34142255,161,6,12,0,11,24,GFI
50609315,24,4,11,0,11,24,GFI
58837405,134,11,22,0,9,24,GFI
20453765,595,7,11,0,9,24,GFI
47076875,314,5,12,1,8,24,GFI
21703576,187,6,18,0,8,24,GFI
9152057,697,4,8,0,8,24,GFI
14464698,0,1,1,11,7,24,GFI
14464698,192,1,1,11,7,24,GFI
38330416,301,4,6,5,7,24,GFI
27634099,195,5,12,3,6,24,GFI
716631,406,9,16,2,6,24,GFI
64129725,10,6,9,0,6,24,GFI
10678009,1178,2,2,0,6,24,GFI
44164386,194,3,9,81,5,24,GFI
9405619,49,2,3,1,4,24,GFI
9405619,545,2,3,1,4,24,GFI
37907236,291,3,3,12,15,23,GFI
37872578,370,5,5,2,12,23,GFI
35291172,45,1,1,1,11,23,GFI
1835034,956,3,5,2,9,23,GFI
37917734,111,10,16,0,9,23,GFI
15970912,9,2,2,0,9,23,GFI
31975164,188,0,0,0,7,23,GFI
61901191,14,4,10,2,6,23,GFI
24830645,0,17,14,0,6,23,GFI
24830645,824,17,14,0,6,23,GFI
5978822,833,7,23,0,6,23,GFI
67032848,16,4,13,0,6,23,GFI
9335135,22,4,6,1,5,23,GFI
48996560,37,3,9,1,4,23,GFI
28002497,13,3,5,0,4,23,GFI
23056805,296,3,6,2,18,22,GFI
50101370,492,5,6,0,17,22,GFI
95906,605,8,17,14,11,22,GFI
17584130,335,4,9,1,11,22,GFI
20783943,302,10,9,1,11,22,GFI
13924897,664,4,5,8,9,22,GFI
6327995,81,3,3,1,9,22,GFI
6327995,234,3,3,1,9,22,GFI
27810421,404,4,8,0,9,22,GFI
56352143,91,11,17,2,8,22,GFI
34972644,34,4,6,2,7,22,GFI
34972644,147,4,6,2,7,22,GFI
12134135,40,5,14,0,7,22,GFI
3201501,653,5,7,0,6,22,GFI
7410918,5,1,1,0,6,22,GFI
8841358,1356,0,0,0,6,22,GFI
8600337,9,1,1,27,5,22,GFI
8600337,16,1,1,27,5,22,GFI
61997482,9,6,13,0,5,22,GFI
3145788,244,8,11,0,5,22,GFI
3145788,815,8,11,0,5,22,GFI
40217638,1,3,10,0,5,22,GFI
49095561,312,0,0,0,5,22,GFI
53521507,21,1,4,0,4,22,GFI
17350386,203,1,1,0,17,21,GFI
19128374,152,3,3,0,14,21,GFI
12646795,94,7,12,1,13,21,GFI
21771715,7,0,0,0,13,21,GFI
20816592,368,4,8,0,12,21,GFI
50928874,182,7,9,4,11,21,GFI
50928874,246,7,9,4,11,21,GFI
62897997,11,8,26,59,10,21,GFI
18146750,271,7,10,6,10,21,GFI
145608,524,7,7,4,9,21,GFI
5898075,121,9,20,2,9,21,GFI
5196884,99,2,2,1,9,21,GFI
19002606,342,3,5,6,8,21,GFI
8674331,567,3,4,29,6,21,GFI
8674331,584,3,4,29,6,21,GFI
27671382,48,4,7,3,6,21,GFI
27671382,498,4,7,3,6,21,GFI
29376961,31,7,20,1,6,21,GFI
5175474,24,5,16,1,6,21,GFI
34349008,6,4,7,1,6,21,GFI
31928214,301,3,5,1,6,21,GFI
31928214,303,3,5,1,6,21,GFI
64508756,13,4,8,2,5,21,GFI
34615419,37,4,11,0,5,21,GFI
49295353,11,6,11,0,5,21,GFI
49295353,150,6,11,0,5,21,GFI
62940481,0,1,1,0,5,21,GFI
37963568,35,4,12,48,4,21,GFI
2046090,7,1,1,2,4,21,GFI
2046090,8,1,1,2,4,21,GFI
58651001,23,4,14,1,4,21,GFI
49957145,53,3,10,1,4,21,GFI
23129075,2,3,6,0,4,21,GFI
44353669,21,2,2,0,4,21,GFI
16612477,8,1,1,5,17,20,GFI
16612477,392,1,1,5,17,20,GFI
25928450,503,9,16,118,14,20,GFI
39885948,206,2,3,1,12,20,GFI
54775219,70,7,12,0,10,20,GFI
52024,1414,4,7,8,9,20,GFI
22472649,141,2,8,1,9,20,GFI
58821108,45,7,11,0,9,20,GFI
7477985,764,6,10,0,9,20,GFI
26675494,21,11,11,8,8,20,GFI
26675494,33,11,11,8,8,20,GFI
49590141,18,6,21,1,8,20,GFI
12358712,3,5,7,1,8,20,GFI
13894098,184,4,5,10,7,20,GFI
42228993,53,4,13,0,7,20,GFI
33516603,513,5,12,0,7,20,GFI
716668,307,3,7,0,7,20,GFI
716668,403,3,7,0,7,20,GFI
51861284,134,3,4,0,7,20,GFI
27935774,737,76,5,9,6,20,GFI
67837736,1,9,20,0,6,20,GFI
6953262,225,0,0,0,6,20,GFI
34566406,77,5,13,0,5,20,GFI
26060572,13,2,4,0,5,20,GFI
30946811,3,4,7,0,4,20,GFI
15386643,575,2,3,0,4,20,GFI
17380317,8,4,14,1,3,20,GFI
17380317,35,4,14,1,3,20,GFI
61866638,0,3,4,0,3,20,GFI
61866638,2,3,4,0,3,20,GFI
49690412,3,0,0,2,2,20,GFI
49690412,16,0,0,2,2,20,GFI
49690412,36,0,0,2,2,20,GFI
23703542,129,2,2,5,11,19,GFI
17381911,722,5,10,0,11,19,GFI
36994253,389,4,4,0,11,19,GFI
6157488,21,3,3,0,11,19,GFI
6157488,337,3,3,0,11,19,GFI
18744966,459,4,4,11,10,19,GFI
13224106,65,4,6,0,9,19,GFI
30616,598,4,6,0,9,19,GFI
30616,598,4,6,0,9,19,GFI
27349846,16,13,7,7,8,19,GFI
47535316,1,5,5,3,8,19,GFI
26843925,98,8,11,0,8,19,GFI
56168538,513,4,8,3,7,19,GFI
14839457,63,4,7,1,7,19,GFI
62325114,25,3,6,1,7,19,GFI
54220256,113,4,8,0,7,19,GFI
27980563,17,5,6,0,7,19,GFI
20735836,715,3,3,9,6,19,GFI
22751425,17,2,3,7,6,19,GFI
22727650,458,4,6,4,6,19,GFI
16697151,321,5,15,0,6,19,GFI
66355,1667,2,3,0,6,19,GFI
42585404,13,3,13,1,5,19,GFI
2810104,512,4,11,0,5,19,GFI
62230703,83,4,9,0,5,19,GFI
56204621,156,3,5,0,5,19,GFI
23235860,705,4,5,0,5,19,GFI
20623303,52,0,0,0,5,19,GFI
64563974,27,3,6,4,4,19,GFI
64563974,36,3,6,4,4,19,GFI
713375,1422,3,5,3,4,19,GFI
1193707,43,4,4,1,4,19,GFI
42061075,137,4,14,0,4,19,GFI
46828313,319,4,6,0,4,19,GFI
1608011,0,1,2,0,4,19,GFI
17218217,317,1,2,0,4,19,GFI
25509556,150,2,4,0,3,19,GFI
47083152,0,1,3,2,13,18,GFI
47083152,170,1,3,2,13,18,GFI
15408310,195,4,4,9,10,18,GFI
