id,num_commit,num_author,stargazers_count,age
3601879,4268,246,26060,96.0
21426700,7060,673,38114,35.0
22079330,2881,40,2064,32.0
44596913,2110,17,10681,39.0
82398812,1188,25,18256,15.0
54988286,1384,4,8685,15.0
32902832,56650,2438,6383,25.0
2344415,5040,45,5043,63.0
528,27427,376,41328,75.0
13631210,13929,97,9238,55.0
17991525,20397,2232,80973,39.0
57334313,2609,113,7758,14.0
68508,324,16,4346,69.0
4866,24605,353,2910,87.0
847,18951,504,5448,92.0
52645726,7160,137,13163,16.0
252,19912,28,2898,89.0
11076098,1741,62,2388,45.0
14280165,69,3,9845,87.0
57700650,2355,267,33527,16.0
2539527,24019,272,29037,63.0
634,27239,1460,21632,100.0
47458719,4699,45,14552,46.0
76219264,99,15,8935,16.0
23599187,12302,339,12790,46.0
59978407,228,5,8233,34.0
24203553,24527,121,5682,37.0
7090134,2585,6,10076,57.0
16606841,3515,68,2090,65.0
13576983,2744,47,12520,83.0
11013070,2367,141,4302,59.0
2254383,18106,444,15566,63.0
1554,14277,57,4987,96.0
1377549,1090,47,3033,98.0
31910301,211,51,15701,26.0
84149,19009,812,5391,37.0
20629,6463,195,20365,90.0
9706049,120114,1270,15014,47.0
39058836,500,16,6230,107.0
54276802,340,7,5300,15.0
27261269,17387,546,13063,31.0
26424942,4166,92,9555,39.0
26591,9207,329,3983,91.0
4128054,2168,22,8477,59.0
11611140,2127,84,17802,44.0
34896252,19021,956,26357,55.0
74189928,54,28,9042,30.0
1528221,32244,329,3930,65.0
961,16158,362,13770,96.0
2288120,1352,36,2960,63.0
28032966,11213,592,26715,41.0
22049697,496,70,8920,93.0
4537328,1094,77,8392,54.0
6198,7953,184,1564,88.0
12190410,5051,145,2145,61.0
12911997,865,48,23322,87.0
540,15531,546,21181,83.0
8932041,7266,240,12338,95.0
13676321,53,7,1280,68.0
3406875,32007,493,6951,60.0
15430259,15093,223,5937,112.0
15157,29191,62,1808,71.0
6705344,10113,207,14657,54.0
36713,3967,89,8129,100.0
28858802,2408,85,13752,54.0
1545591,40777,99,3219,65.0
15870,22397,531,13855,90.0
27564,19059,285,3018,73.0
1173,5276,195,34394,99.0
33839743,153,39,7613,112.0
16695030,4640,124,4478,108.0
33685085,9505,181,9568,69.0
775774,6810,65,4149,109.0
34186102,1188,71,12631,24.0
96553,5557,68,20827,73.0
20026341,566,6,1731,35.0
11494393,2888,133,8586,97.0
6690806,1275,208,13456,53.0
5219,29484,1174,37020,93.0
11632333,3458,114,36475,43.0
18170,3618,38,1390,71.0
595203,8674,305,2020,76.0
24397,4773,357,7073,84.0
340,19211,449,20719,90.0
27693,2389,111,8872,84.0
12185491,702,35,1650,43.0
9164060,876,52,8598,48.0
2705342,2551,31,8950,62.0
4304960,4731,106,6557,58.0
5472724,4126,46,1647,55.0
1996840,5040,280,25710,92.0
2389408,4014,60,3753,64.0
6613024,4411,9,2984,53.0
5160353,302,4,5611,56.0
10423929,5283,65,17915,37.0
6584,1582,86,7370,120.0
3540281,3022,11,3726,61.0
9793,22228,549,6199,96.0
10912,5261,111,4440,72.0
1529,6013,330,2306,75.0
3644,9579,389,10706,100.0
3086778,20806,64,1863,78.0
163875,8512,41,3772,79.0
11010021,363,47,16340,45.0
25822,10600,123,8152,104.0
13981,1169,34,5913,102.0
35770,4165,139,1811,112.0
1312712,10368,161,3076,66.0
3697,3975,58,3347,74.0
9122949,727,28,16220,48.0
4484156,1963,53,5030,57.0
22031851,1402,21,7689,63.0
4371013,30705,119,3614,96.0
7537545,657,22,7533,51.0
26047131,30836,495,10409,31.0
11734247,2555,365,18491,88.0
13534407,1151,11,4484,41.0
41436405,578,17,3775,44.0
28514697,5843,17,4533,53.0
6401040,7136,97,3302,53.0
20713152,792,4,1542,108.0
4100576,2803,29,1782,58.0
38829050,5055,126,3021,34.0
53564232,9077,229,3297,26.0
20337473,34909,144,4302,50.0
1394906,2456,79,8119,85.0
48219054,5919,62,8739,22.0
