id,issue_id,project_url,issue_url,commit,type,number_attempt_newcomer,whether_solved_by_newcomer,author_name,commit_created_at,exper,longterm,resolve_time_days
48683134,2193,https://api.github.com/repos/ethereum/mist,https://github.com/ethereum/mist/issues/2193,c6e5e7279dbd2fac91467a40500af3358f79273a,ui,1,TRUE,trevor,2017-10-15 09:16:56 UTC,0,0,165.54
65808202,3756,https://api.github.com/repos/jupyterlab/jupyterlab,https://github.com/jupyterlab/jupyterlab/issues/3756,a906713be71e46ea56c47b3484705e889ecf8cbc,ui,1,TRUE,DataEagle,2018-02-01 20:08:06 UTC,0,0,1.38
63312993,7885,https://api.github.com/repos/zulip/zulip,https://github.com/zulip/zulip/issues/7885,a0b58b15609ef02655fbb377502d9b8f958fdb68,ui,2,TRUE,Aman Jain,2018-02-11 13:29:50 UTC,0,1,49.29
68817680,10609,https://api.github.com/repos/mui-org/material-ui,https://github.com/mui-org/material-ui/issues/10609,281be1ed04fab269cc220a79b9f04ccecfab25d4,ui,2,TRUE,Adam Szeptycki,2018-03-11 20:01:59 UTC,0,0,0.42
61301066,6885,https://api.github.com/repos/babel/babel,https://github.com/babel/babel/issues/6885,cf62908bbd21a844e868ee76afd718faed699c88,bug,2,TRUE,Nicolas Marien,2017-11-25 19:13:56 UTC,0,0,2.38
63423981,7909,https://api.github.com/repos/zulip/zulip,https://github.com/zulip/zulip/issues/7909,53e4dc1a46a62ae403810cbc95d28a12e5f4178e,bug,2,TRUE,Logan Williams,2018-01-25 19:44:30 UTC,0,0,29.67
65298902,1042,https://api.github.com/repos/netlify/netlify-cms,https://github.com/netlify/netlify-cms/issues/1042,b272553c7b01327dad2c9306473eeb478b5bdafb,bug,1,TRUE,Sumeet Jain,2018-01-24 09:38:10 UTC,0,0,0.21
64070927,9782,https://api.github.com/repos/mui-org/material-ui,https://github.com/mui-org/material-ui/issues/9782,0f6464b5288ef03853d2e7e66e680c5eab11a1f1,bug,1,TRUE,hapood,2018-01-09 15:04:29 UTC,0,0,1.25
46004909,300,https://api.github.com/repos/netlify/netlify-cms,https://github.com/netlify/netlify-cms/issues/300,a8ebba2cf2b8ee36960c821acba8985eb8aaaaa0,bug,1,TRUE,Drian Hillman,2017-07-01 13:52:46 UTC,0,1,105.46
62729818,10310,https://api.github.com/repos/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn/issues/10310,92c9095591c5885838987686a0dc7f8cff8bcf5e,bug,1,TRUE,Mayur Kulkarni,2018-01-11 05:50:05 UTC,0,2,28.17
50162423,4750,https://api.github.com/repos/certbot/certbot,https://github.com/certbot/certbot/issues/4750,331d12ed50aa265e2fc7a865a0d8872e9666e9b9,bug,1,TRUE,r5d,2017-07-13 13:13:59 UTC,0,9,44.75
23082975,3514,https://api.github.com/repos/nodejs/node,https://github.com/nodejs/node/issues/3514,1c84579031e34326742c9c264f54625c5918197c,bug,1,TRUE,Eugene Obrezkov,2016-04-21 19:02:27 UTC,0,1,179.25
57116811,9350,https://api.github.com/repos/eslint/eslint,https://github.com/eslint/eslint/issues/9350,ff2be59e1ff1e8cab0a95844a502f612f2278c94,bug,1,TRUE,Phil Quinn,2017-09-29 20:17:52 UTC,0,1,4.08
69177388,19371,https://api.github.com/repos/nodejs/node,https://github.com/nodejs/node/issues/19371,42c740212d6c0b910463414ee7d9865e3fc0bb0c,bug,1,TRUE,garwahl,2018-03-23 23:24:01 UTC,0,0,8.42
66106637,1077,https://api.github.com/repos/netlify/netlify-cms,https://github.com/netlify/netlify-cms/issues/1077,a1023e89a1a97fd343630386e47f0253b51902dc,bug,2,TRUE,David Ko,2018-02-22 17:19:23 UTC,0,0,17.38
69198905,10668,https://api.github.com/repos/mui-org/material-ui,https://github.com/mui-org/material-ui/issues/10668,14c6a043818f5726a15dad400e9bd37f5c30fc1f,bug,1,TRUE,Nick Young,2018-03-16 05:07:26 UTC,0,0,0.5
65168777,817,https://api.github.com/repos/gaearon/react-hot-loader,https://github.com/gaearon/react-hot-loader/issues/817,c2b7c3c8c797b4ca4bcdc1cc5c78eebbbab5946a,bug,1,TRUE,Leandro Balmaceda,2018-01-29 19:23:18 UTC,0,0,6.71
59860658,2645,https://api.github.com/repos/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby/issues/2645,12a214e3672f2941081402eb4e044346e01312f1,bug,1,TRUE,Alex Parish,2018-03-19 11:49:06 UTC,0,0,143.63
65933906,8242,https://api.github.com/repos/zulip/zulip,https://github.com/zulip/zulip/issues/8242,a072b2a1534893f0825a97984dc014a8990fd429,bug,2,TRUE,LuisFSilva,2018-04-24 17:12:09 UTC,0,0,81.83
