,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,61123985,[tracking issue] converting tests to use countdown,"one possible set of tasks that i can suggest for new contributors who are bit more confident in their node.js skills, would be converting tests to use the new `../common/countdown` utility module.

for instance, if you take a look at: https://github.com/nodejs/node/blob/master/test/parallel/test-http2-client-destroy.js, you'll see that there is a remaining counter (https://github.com/nodejs/node/blob/master/test/parallel/test-http2-client-destroy.js#l19). the test then counts down remaining before closing the server. there are quite a large number of tests in our suite that perform similar actions in ways that are rather inconsistent. the ../common/countdown utility was designed to bring some consistency there.

the way the countdown utility works is straightforward:


i know that there are quite a few of the http2 tests that can benefit from this, along with a bunch of other http and https tests.

these tasks would be for folks who are a bit more comfortable with their node.js skills.

there are *many* tests in the suite that could be modified to use this new utility. however, rather than modifying them all at once, if a new contributor wishes to take this on, please one change one or two at a time, leaving other tests for other contributors to pick up on. just reference this tracking issue in the commit/pr so that we can keep track.
",0,1,0,0,7,208,13.59,105,1,6,20,64262,0,utility test contributor skill //github.com/nodejs/node/blob/master/test/parallel/test-http2-client-destroy.js ../common/countdown suite remain modify track,utility test contributor skill //github.com/nodejs/node/blob/master/test/parallel/test-http2-client-destroy.js ../common/countdown suite remain modify track node.js task bit http l19 countdown confident commit/pr comfortable benefit
1,14464698,rule suggestion: `always-as-needed` option for `quote-props`,"well, `always-as-needed` is an awkward name, so let's not do that. but it would be super rad if there were an option like `as-needed`, but in the event that a single property of an object needs it, it treats it like `always` for that object.

because this is ugly:


_¦â_nd always having to quote _everything_ is even uglier :)
<bountysource-plugin>

</bountysource-plugin>

",1,1,0,0,6,61,10.86,0,3,191,12,14910,1,ugly object rad awkward as-needed always-as-needed _¦â_nd _everything_ super treat,ugly object rad awkward as-needed always-as-needed _¦â_nd _everything_ super treat quote single bountysource-plugin /bountysource-plugin event property option
2,61340960,implement inline sqrt functionality in floattensor with cpu/gpu backend support,"user story: 
as a data scientist using pysyft's floattensor type, i want to leverage a wide range of methods which use our new unity backend. for this ticket to be complete, the sqrt_() should be added to our floattensor class with the appropriate functionality. note that the method runs inline, the method called on a tensor returns the tensor on which it is called.

furthermore, the function should automatically determine which backend to use (cpu/gpu) based on where the data is located. if the data is located on the cpu, a performant cpu implementation should run but if the data for a given floattensor is located on a gpu, it should be run using an hlsl kernel where appropriate. obviously, if no gpu is available, it should automatically fall back to the cpu implementation.

every reference you might need for this issue:

acceptance criteria:

 [ ] an integration test in pysyft demonstrating the correct cpu and gpu operation implemented over a floattensor while connected to a unity backend
 [ ] a unit test in openmined/openmined demonstrating the correct operation on a floattensor
 [ ] link your pull request back to this issue so that it gets closed appropriately when the pr is merged.
",7,0,0,0,10,197,12.02,0,,,,3848,0,floattensor cpu locate gpu backend data unity pysyft tensor operation,floattensor cpu locate gpu backend data unity pysyft tensor operation demonstrate method automatically implementation correct sqrt_ performant openmined/openmined leverage hlsl
3,30918638,link contributing page to github,"categories should link to the categories searches of issues. there should also be a link to the main kinto page at the top. (see #208.)

",0,0,0,0,5,25,6.66,0,1,2,0,3811,1,category link kinto 208 top main search issue,category link kinto 208 top main search issue
4,35309679,closed captions being read by mac os x voiceover on chrome,"description

closed captions are being read by chrome (and reportedly ff) when voice over is enabled on mac os x. they are not being read by safari.  this appears to be a regression introduced when adding basic description track support; specifically, the addition of including aria-live=""assertive"" aria-atomic=""true"" for text tracks to support descriptions.
steps to reproduce

explain in detail the exact steps necessary to reproduce the issue.
using chrome or ff on mac osx, open a videojs player with captions enabled
enable voiceover in the accessibility options
enable closed captions
results
expected

closed captions will be displayed but voiceover will not read them
actual

closed captions are displayed and read aloud by voiceover
error output

n/a
additional information

please include any additional information necessary here. including the following:
versions
videojs

10.8
browsers

chrome: version 52.0.2743.116 (64-bit)
oses

what platforms (operating systems and devices) are affected?
mac os x 10.11.5 (15f34)
plugins

are any videojs plugins being used on the page? if so, please list them below.

",0,0,0,0,11,166,15.9,0,1,7,1,26060,1,caption voiceover enable videojs mac read closed chrome additional track,caption voiceover enable videojs mac read closed chrome additional track plugins description display close `` reportedly assertive aria-live= aria-atomic= aloud
5,37110136,"`fs.rmdir()` on file (not directory) has ""enotdir"" on linux/macos vs ""enoent"" on windows"," **version**: 6.6.0
 **platform**: darwin fulmen.local 16.1.0 darwin kernel version 16.1.0: mon sep 12 19:36:59 pdt 2016; root:xnu-3789.20.43~78/release_x86_64 x86_64
 **subsystem**: ""fs"" module

just noticed an inconsistency between windows and everything else (why, windows, why?!) for the `fs.rmdir()` and `fs.rmdirsync()` built-in functions.


~~assuming you save this to a file and `node` it, this file deletes itself on windows _instead_ of throwing an error as on linux and macos.~~

note that `fs.unlink()` and `fs.unlinksync()` consistently result in errors if used on a directory's path.

update: the snippet results in an ""enoent"" error on windows, instead of an ""enotdir"" error as on linux / macos

",0,1,0,0,13,100,14.64,,1,6,0,64262,1,window 16.1.0 `` darwin error linux ~~assuming xnu-3789.20.43~78/release_x86_64 sep pdt,window 16.1.0 `` darwin error linux ~~assuming xnu-3789.20.43~78/release_x86_64 sep pdt macos.~~ fulmen.local fs.unlinksync fs.unlink fs.rmdirsync fs.rmdir enotdir _instead_ 6.6.0 19:36:59
6,32525227,add ability to right click and add folder / add bookmark from anywhere inside bookmark manager page.,"you must click _on_ an item to get the context menu (to add a folder for instance).
this is odd ui.
(from support)

",0,0,0,0,16,23,3.75,,1,7,0,8206,0,_on_ odd ui folder menu item context instance click support,_on_ odd ui folder menu item context instance click support add
7,29411169,"""aga"" command empty graph","for very simple functions, with no basic blocks, the command `aga` returns an empty graph:


it would be better if it returns a graph with one single node with the function address.

",0,1,0,0,4,32,9.93,0,1,35,22,10992,0,graph aga return basic function single simple block empty address,graph aga return basic function single simple block empty address node command
8,63579307,output of rabin2 -s sucks,"should be compacted like its done with -i and -s
",0,0,0,0,5,10,3.28,3,1,13,2,10992,0,compact -s -i,compact -s -i
9,27192534,avoid calling curl from tests,"adding so i don't forget -- we currently invoke curl in two tests which implicitly pulls it as a dependency:


suggesting we replace this with.. javascript?

",0,1,0,0,5,25,12.48,0,3,93,89,64262,1,with.. suggesting implicitly forget invoke pull curl javascript dependency replace,with.. suggesting implicitly forget invoke pull curl javascript dependency replace add test
