issue_id,num_url,num_code,num_comment,num_table,count_word_title,count_word_body,readability,labeler_exper,num_file,num_add,num_delete,stargazers_count,whether_solved_by_newcomers
22685294,0,1,0,0,5,50,14.12,0,1,16,4,10992,0
13895853,0,1,0,0,6,93,15.97,5,1,11,3,10992,0
56530156,0,1,0,0,7,26,8.01,3,2,11,0,10992,0
42801909,0,0,0,0,6,25,9.23,5,3,23,4,10992,0
53589450,0,0,0,0,4,58,14,18,4,186,57,10992,0
24890319,0,0,0,0,8,15,37.05,0,2,16,11,10992,0
20763709,0,1,0,0,3,14,12.35,0,2,16,2,10992,0
25456829,0,0,0,0,3,0,-15.81,0,2,34,0,10992,0
26783977,0,1,0,0,3,8,18.05,0,2,27,13,10992,0
21813525,0,0,0,0,4,0,-15.81,0,6,6,7,10992,0
42143302,0,0,0,0,7,0,-15.81,5,4,50,34,10992,0
29504137,0,2,0,0,4,14,15.71,0,1,5,0,10992,0
27869837,0,1,0,0,8,7,22.34,62,5,21,16,10992,0
30341038,0,0,0,0,7,18,3.07,0,3,24,13,10992,0
31865425,0,0,0,0,3,0,-15.81,0,2,7,6,10992,0
38958671,0,0,0,0,4,0,-15.81,5,1,29,28,10992,0
18000487,0,0,0,0,4,0,-15.81,0,,,,10992,0
47363527,1,1,0,0,9,90,8.08,8,1,1,1,10992,0
26646761,0,0,0,0,4,3,-0.46,0,4,23,2,10992,0
42171735,0,0,0,0,6,14,8.23,5,8,34,22,10992,0
64563974,1,2,0,0,5,42,18.51,0,1,6,2,10992,0
64563974,1,2,0,0,5,42,18.51,0,1,39,41,10992,0
38819599,0,0,0,0,2,0,-15.81,5,4,30,11,10992,0
35772071,0,0,0,0,4,76,8.73,52,2,16,4,10992,0
21489329,0,0,0,0,6,5,43.24,0,1,10,0,10992,0
29313026,0,1,0,0,5,1,12.6,58,1,75,8,10992,0
29488863,0,1,0,0,3,0,-15.81,0,1,8,0,10992,0
14077557,0,0,0,0,4,0,-15.81,0,2,34,11,10992,0
13669901,0,1,0,0,5,25,14.78,122,1,16,4,10992,0
10534432,0,1,0,0,14,19,6.56,0,1,3,0,10992,0
2038499,0,0,0,0,4,57,10.16,,1,1,1,4862,0
40635238,0,0,0,0,5,55,24.32,0,2,14,1,4445,0
